,index_price
2020-09-24,10753.33
2020-09-25,10690.01
2020-09-26,10751.18
2020-09-27,10745.26
2020-09-28,10773.66
2020-09-29,10850.64
2020-09-30,10762.31
2020-10-01,10620.31
2020-10-02,10473.26
2020-10-03,10559.05
2020-10-04,10660.29
2020-10-05,10791.89
2020-10-06,10596.98
2020-10-07,10650.06
2020-10-08,10896.18
2020-10-09,11072.02
2020-10-10,11368.88
2020-10-11,11291.44
2020-10-12,11507.8
2020-10-13,11427.89
2020-10-14,11396.24
2020-10-15,11489.89
2020-10-16,11354.26
2020-10-17,11350.51
2020-10-18,11509.91
2020-10-19,11738.51
2020-10-20,11972.44
2020-10-21,12809.14
2020-10-22,12992.9
2020-10-23,12954.77
2020-10-24,13060.78
2020-10-25,13019.92
2020-10-26,13080.48
2020-10-27,13667.4
2020-10-28,13289.25
2020-10-29,13424.91
2020-10-30,13574.18
2020-10-31,13838.05
2020-11-01,13757.87
2020-11-02,13604.59
2020-11-03,13972.16
2020-11-04,14109.07
2020-11-05,15546.36
2020-11-06,15620.87
2020-11-07,14857.23
2020-11-08,15497.18
2020-11-09,15323.85
2020-11-10,15406.27
2020-11-11,15722.54
2020-11-12,16335.38
2020-11-13,16358.52
2020-11-14,16106.17
2020-11-15,16010.04
2020-11-16,16751.81
2020-11-17,17669.73
2020-11-18,17864.46
2020-11-19,17851.91
2020-11-20,18666.86
2020-11-21,18737.75
2020-11-22,18440.22
2020-11-23,18410.67
2020-11-24,19120.56
2020-11-25,18559.82
2020-11-26,17103.7
2020-11-27,17142.45
2020-11-28,17780.3
2020-11-29,18327.98
2020-11-30,19470.41
2020-12-01,18830.79
2020-12-02,19211.02
2020-12-03,19543.42
2020-12-04,18735.1
2020-12-05,19033.58
2020-12-06,19391.92
2020-12-07,19087.68
2020-12-08,18316.47
2020-12-09,18597.01
2020-12-10,18372.24
2020-12-11,18131.78
2020-12-12,18928.21
2020-12-13,19179.62
2020-12-14,19298.89
2020-12-15,19447.93
2020-12-16,21386.58
2020-12-17,22815.42
2020-12-18,22952.39
2020-12-19,23889.55
2020-12-20,23529.27
2020-12-21,22928.54
2020-12-22,23784.13
2020-12-23,23389.49
2020-12-24,23661.44
2020-12-25,24676.46
2020-12-26,26432.63
2020-12-27,26213.02
2020-12-28,27095.54
2020-12-29,26966.8
2020-12-30,28861.79
2020-12-31,28975.12
2021-01-01,29376.22
2021-01-02,32146.38
2021-01-03,32976.48
2021-01-04,31836.55
2021-01-05,34046.05
2021-01-06,36954.57
2021-01-07,39207.12
2021-01-08,40712.4
2021-01-09,40414.84
2021-01-10,38492.89
2021-01-11,35540.27
2021-01-12,34015.18
2021-01-13,37334.14
2021-01-14,38721.36
2021-01-15,36760.62
2021-01-16,36403.5
2021-01-17,36068.7
2021-01-18,36749.31
2021-01-19,36583.38
2021-01-20,34987.91
2021-01-21,30896.62
2021-01-22,32873.33
2021-01-23,32045.7
2021-01-24,32356.99
2021-01-25,32598.27
2021-01-26,32543.44
2021-01-27,30363.82
2021-01-28,33272.2
2021-01-29,34027.11
2021-01-30,34599.08
2021-01-31,33261.95
2021-02-01,33516.81
2021-02-02,35576.32
2021-02-03,37615.63
2021-02-04,37507.44
2021-02-05,37851.1
2021-02-06,39273.93
2021-02-07,39021.08
2021-02-08,46434.4
2021-02-09,46552.61
2021-02-10,45318.9
2021-02-11,47915.26
2021-02-12,47361.39
2021-02-13,47256.51
2021-02-14,48611.22
2021-02-15,47963.96
2021-02-16,49270.21
2021-02-17,52345.4
2021-02-18,51560.44
2021-02-19,55897.86
2021-02-20,56157.69
2021-02-21,57543.95
2021-02-22,54018.55
2021-02-23,48907.66
2021-02-24,49629.54
2021-02-25,46973.02
2021-02-26,46410.52
2021-02-27,46143.29
2021-02-28,45472.4
2021-03-01,49713.19
2021-03-02,48127.32
2021-03-03,50568.3
2021-03-04,48477.71
2021-03-05,48898.32
2021-03-06,48874.53
2021-03-07,51171.12
2021-03-08,52274.24
2021-03-09,54861.07
2021-03-10,56024.61
2021-03-11,57702.31
2021-03-12,57356.3
2021-03-13,61283.87
2021-03-14,59495.05
2021-03-15,55744.05
2021-03-16,56458.08
2021-03-17,58941.79
2021-03-18,57852.55
2021-03-19,58354.81
2021-03-20,58267.55
2021-03-21,57738.32
2021-03-22,54104.99
2021-03-23,54522.61
2021-03-24,52585.7
2021-03-25,51437.0
2021-03-26,54982.83
2021-03-27,56152.16
2021-03-28,55717.98
2021-03-29,57625.14
2021-03-30,58691.49
2021-03-31,58846.39
2021-04-01,58843.88
2021-04-02,59043.43
2021-04-03,57129.72
2021-04-04,58303.7
2021-04-05,58939.5
2021-04-06,58094.21
2021-04-07,55946.11
2021-04-08,58043.71
2021-04-09,58046.07
2021-04-10,59737.04
2021-04-11,59938.34
2021-04-12,59925.24
2021-04-13,63587.51
2021-04-14,62818.4
2021-04-15,63166.71
2021-04-16,61464.28
2021-04-17,60378.88
2021-04-18,56180.79
2021-04-19,55729.52
2021-04-20,56526.29
2021-04-21,53698.48
2021-04-22,51699.32
2021-04-23,51170.51
