,T Return,Mean,Std,Skewness,Kurtosis,5% Quantile,25% Quantile,Median,75% Quantile,95% Quantile,T-1 Return,T-2 Return,T-3 Return,T-4 Return,Fear and Greed Index,VIX
T Return,1.0,-0.05752069390600414,-0.11988400415320907,-0.027427243648970874,-0.07240377003537012,-0.04877500365954873,-0.055554982829104975,-0.05753071969133899,-0.059463955419716115,-0.0629688742574735,0.058947781053290356,-0.04030973965082283,-0.046098570373915175,0.0653177704495425,0.08158360642753978,-0.012718321354686571
Mean,-0.05752069390600414,1.0,0.6347719631394706,0.03829106023903126,-0.13381283429494126,0.995810858571534,0.9995015474120662,0.9999590313838358,0.9996368571684424,0.9969673136318672,0.06967988176926965,0.06025227692031121,0.08453587732515797,0.10594469284454078,0.4026403366246941,-0.26481563711246836
Std,-0.11988400415320907,0.6347719631394706,1.0,0.31628208034807037,0.3494500398432184,0.5653903568737684,0.6116581500915763,0.632440196881408,0.6519340663472369,0.689532122040391,0.1627628064666316,0.2249669166728318,0.19471727828265784,0.0955192891350863,0.4201006901616927,-0.02561469113466066
Skewness,-0.027427243648970874,0.03829106023903126,0.31628208034807037,1.0,0.30176713606131544,0.02569128686430948,0.026503242150220745,0.030851523808616593,0.038009624907143845,0.06259602532328587,0.3527525071826012,0.3472119373285322,0.19158896947531226,0.15997350081764186,0.44477593514684927,-0.17020416769418734
Kurtosis,-0.07240377003537012,-0.13381283429494126,0.3494500398432184,0.30176713606131544,1.0,-0.16651694679014584,-0.14481520799006986,-0.1372781491262292,-0.12952804001383195,-0.10441975785073361,0.049355096980970965,0.23929670384229187,0.11090848914382502,0.01937434300909655,0.12381494011638532,0.1369983654910569
5% Quantile,-0.04877500365954873,0.995810858571534,0.5653903568737684,0.02569128686430948,-0.16651694679014584,1.0,0.9980058913457626,0.995837811629196,0.9930775998561291,0.9859919907257529,0.06103305071434319,0.045700920601973116,0.06976757065994832,0.10530807275140351,0.3889914382639105,-0.28399923255893295
25% Quantile,-0.055554982829104975,0.9995015474120662,0.6116581500915763,0.026503242150220745,-0.14481520799006986,0.9980058913457626,1.0,0.999572494695899,0.9983761689241034,0.9940453614331823,0.06475482160225596,0.05318751217948386,0.07868927621023346,0.1034705829500827,0.39519116367252943,-0.26961481317534314
Median,-0.05753071969133899,0.9999590313838358,0.632440196881408,0.030851523808616593,-0.1372781491262292,0.995837811629196,0.999572494695899,1.0,0.9996062742425375,0.9966969742777148,0.06763533180701722,0.05760267321901786,0.08311417810136115,0.10399266398981295,0.3993748222926339,-0.2636410552107288
75% Quantile,-0.059463955419716115,0.9996368571684424,0.6519340663472369,0.038009624907143845,-0.12952804001383195,0.9930775998561291,0.9983761689241034,0.9996062742425375,1.0,0.9985350334629812,0.07111630637182403,0.06272546804489201,0.08819743278541572,0.1056715129034219,0.40462354653423477,-0.25870097887187543
95% Quantile,-0.0629688742574735,0.9969673136318672,0.689532122040391,0.06259602532328587,-0.10441975785073361,0.9859919907257529,0.9940453614331823,0.9966969742777148,0.9985350334629812,1.0,0.0809397286757546,0.07630535940064863,0.0999024753972124,0.11090594439183554,0.4191290439269122,-0.2512812736970027
T-1 Return,0.058947781053290356,0.06967988176926965,0.1627628064666316,0.3527525071826012,0.049355096980970965,0.06103305071434319,0.06475482160225596,0.06763533180701722,0.07111630637182403,0.0809397286757546,1.0,0.07042576541689458,-0.04403348508002949,-0.05429988843181935,0.4143887572048351,-0.10391236732159405
T-2 Return,-0.04030973965082283,0.06025227692031121,0.2249669166728318,0.3472119373285322,0.23929670384229187,0.045700920601973116,0.05318751217948386,0.05760267321901786,0.06272546804489201,0.07630535940064863,0.07042576541689458,1.0,0.052905322437211785,-0.031701577159135436,0.40172222902220467,-0.0763944781026053
T-3 Return,-0.046098570373915175,0.08453587732515797,0.19471727828265784,0.19158896947531226,0.11090848914382502,0.06976757065994832,0.07868927621023346,0.08311417810136115,0.08819743278541572,0.0999024753972124,-0.04403348508002949,0.052905322437211785,1.0,0.0894807804993374,0.31460519240334217,-0.0905624742734065
T-4 Return,0.0653177704495425,0.10594469284454078,0.0955192891350863,0.15997350081764186,0.01937434300909655,0.10530807275140351,0.1034705829500827,0.10399266398981295,0.1056715129034219,0.11090594439183554,-0.05429988843181935,-0.031701577159135436,0.0894807804993374,1.0,0.28907940303286006,-0.1213559922490207
Fear and Greed Index,0.08158360642753978,0.4026403366246941,0.4201006901616927,0.44477593514684927,0.12381494011638532,0.3889914382639105,0.39519116367252943,0.3993748222926339,0.40462354653423477,0.4191290439269122,0.4143887572048351,0.40172222902220467,0.31460519240334217,0.28907940303286006,1.0,-0.42321408736704796
VIX,-0.012718321354686571,-0.26481563711246836,-0.02561469113466066,-0.17020416769418734,0.1369983654910569,-0.28399923255893295,-0.26961481317534314,-0.2636410552107288,-0.25870097887187543,-0.2512812736970027,-0.10391236732159405,-0.0763944781026053,-0.0905624742734065,-0.1213559922490207,-0.42321408736704796,1.0
