Variable,T Return,Mean,Std,Skewness,Kurtosis,5% Quantile,25% Quantile,Median,75% Quantile,95% Quantile,T-1 Return,T-2 Return,T-3 Return,T-4 Return,Fear and Greed Index,VIX
T Return,1.0,-0.020503242751810303,-0.07615631985965901,0.18481723163902888,-0.11971064442630511,-0.016268338858272134,-0.023370218930017485,-0.023610732505004325,-0.022029963477914333,-0.021268762891211185,-0.01853860895615018,0.024476557663938282,0.002320739807275972,-0.02277987307092088,0.013069334428578622,0.04097937141990566
Mean,-0.020503242751810303,1.0,0.661659629172022,-0.17206749357980913,-0.045888573078401475,0.9992328975108952,0.9994656697730941,0.9993848691540802,0.9991254098631865,0.9991458090546089,0.04097057871759721,-0.011279626093218498,0.0077706996073573795,0.017573530141403764,0.43309099036025767,-0.3621167486890532
Std,-0.07615631985965901,0.661659629172022,1.0,-0.10014351008464452,0.060225659560510646,0.6429257921610273,0.6636485859813525,0.6697124924159592,0.6757024805486903,0.6885439049258957,0.015554220705322573,0.01980745471961344,0.041429816266513715,0.04865705595179554,0.32918715838011364,-0.2056518796793588
Skewness,0.18481723163902888,-0.17206749357980913,-0.10014351008464452,1.0,-0.4154848211726847,-0.15864558317051114,-0.17280537508769175,-0.1715401718542466,-0.16865647377784546,-0.15911368692627753,-0.11364439995774185,-0.004753268232571753,0.07705804240192063,-0.0027962918997500186,0.03202184967598674,0.05336403665141778
Kurtosis,-0.11971064442630511,-0.045888573078401475,0.060225659560510646,-0.4154848211726847,1.0,-0.0549844226981425,-0.045365158703200986,-0.047365711929823834,-0.048997340521396364,-0.046625603893723354,0.004606052640513622,0.026361430263567846,-0.026381257053017117,-0.03898652134422958,-0.10445830648797587,0.08687106530450416
5% Quantile,-0.016268338858272134,0.9992328975108952,0.6429257921610273,-0.15864558317051114,-0.0549844226981425,1.0,0.9990181093078941,0.9986667257525915,0.99812513457985,0.997687425217134,0.043153295217832975,-0.011722403509844671,0.007238572270411055,0.015851788878428214,0.43096462291936305,-0.3635558327249059
25% Quantile,-0.023370218930017485,0.9994656697730941,0.6636485859813525,-0.17280537508769175,-0.045365158703200986,0.9990181093078941,1.0,0.9997828245126393,0.9993949128228523,0.9986826033348168,0.04455602474632831,-0.013368853171598362,0.008091132408618659,0.01693744458263114,0.4308906073777129,-0.36225333486056566
Median,-0.023610732505004325,0.9993848691540802,0.6697124924159592,-0.1715401718542466,-0.047365711929823834,0.9986667257525915,0.9997828245126393,1.0,0.9994650160869644,0.9989276993508593,0.04462932306191888,-0.013068272398739974,0.008534159098758648,0.018265194819305205,0.4328157405284864,-0.3622698227410198
75% Quantile,-0.022029963477914333,0.9991254098631865,0.6757024805486903,-0.16865647377784546,-0.048997340521396364,0.99812513457985,0.9993949128228523,0.9994650160869644,1.0,0.9990245042703265,0.04301960573277236,-0.012051865910137308,0.010386978589771627,0.019149951980737136,0.43333393403693155,-0.36211479959905923
95% Quantile,-0.021268762891211185,0.9991458090546089,0.6885439049258957,-0.15911368692627753,-0.046625603893723354,0.997687425217134,0.9986826033348168,0.9989276993508593,0.9990245042703265,1.0,0.03808928021136976,-0.010513649214002637,0.01155020802148666,0.019696060743426246,0.4367018425255644,-0.36042321621737144
T-1 Return,-0.01853860895615018,0.04097057871759721,0.015554220705322573,-0.11364439995774185,0.004606052640513622,0.043153295217832975,0.04455602474632831,0.04462932306191888,0.04301960573277236,0.03808928021136976,1.0,-0.03336256647073381,-0.012967349626202886,-0.02186922817339687,0.05956449455271603,-0.0841672361145424
T-2 Return,0.024476557663938282,-0.011279626093218498,0.01980745471961344,-0.004753268232571753,0.026361430263567846,-0.011722403509844671,-0.013368853171598362,-0.013068272398739974,-0.012051865910137308,-0.010513649214002637,-0.03336256647073381,1.0,-0.033088123021870953,0.010549152079991091,0.16216937577670212,-0.002422429224451023
T-3 Return,0.002320739807275972,0.0077706996073573795,0.041429816266513715,0.07705804240192063,-0.026381257053017117,0.007238572270411055,0.008091132408618659,0.008534159098758648,0.010386978589771627,0.01155020802148666,-0.012967349626202886,-0.033088123021870953,1.0,-0.02893078118424665,0.13555785806701154,0.007700474854429093
T-4 Return,-0.02277987307092088,0.017573530141403764,0.04865705595179554,-0.0027962918997500186,-0.03898652134422958,0.015851788878428214,0.01693744458263114,0.018265194819305205,0.019149951980737136,0.019696060743426246,-0.02186922817339687,0.010549152079991091,-0.02893078118424665,1.0,0.11619963788684452,-0.037552598033301826
Fear and Greed Index,0.013069334428578622,0.43309099036025767,0.32918715838011364,0.03202184967598674,-0.10445830648797587,0.43096462291936305,0.4308906073777129,0.4328157405284864,0.43333393403693155,0.4367018425255644,0.05956449455271603,0.16216937577670212,0.13555785806701154,0.11619963788684452,1.0,-0.5054729444540662
VIX,0.04097937141990566,-0.3621167486890532,-0.2056518796793588,0.05336403665141778,0.08687106530450416,-0.3635558327249059,-0.36225333486056566,-0.3622698227410198,-0.36211479959905923,-0.36042321621737144,-0.0841672361145424,-0.002422429224451023,0.007700474854429093,-0.037552598033301826,-0.5054729444540662,1.0
