Variable,T Return,Mean,Std,Skewness,Kurtosis,5% Quantile,25% Quantile,Median,75% Quantile,95% Quantile,T-1 Return,T-2 Return,T-3 Return,T-4 Return,Fear and Greed Index,VIX
T Return,1.0,0.009722538075271995,-0.0006180109308392976,0.14462518798223317,0.09168924171112015,0.011530267979303127,0.009878591141528847,0.009433840310208823,0.009026848149151953,0.009279973567148563,0.06492671942695222,0.04453281772333969,0.010389214005279038,0.05294407944583145,0.090713053830739,-0.029649294401162984
Mean,0.009722538075271995,1.0,0.792885560897208,-0.15087110822128896,-0.19768790753460064,0.9971976764895052,0.9996225260941403,0.9999911369888755,0.9997156612268047,0.9976927039095993,0.05499820778071987,0.035205524675790335,0.04024832162760125,0.015972335888807292,0.364005882122391,-0.28871596625388474
Std,-0.0006180109308392976,0.792885560897208,1.0,-0.07677159218578193,0.010632020571603161,0.7453431618311331,0.7760136815708653,0.791766223225139,0.8069818793996266,0.8322823673650002,0.08266019642520446,0.06284168743562657,0.10849738618468592,0.08167270378123881,0.3646980815892835,-0.17485943853955635
Skewness,0.14462518798223317,-0.15087110822128896,-0.07677159218578193,1.0,0.5033130278529274,-0.14919787121112202,-0.15410985708952432,-0.1540001034625824,-0.15147194100957903,-0.1412362069863198,0.2818258984880111,0.16202023721799577,0.09525276137715818,0.13599080504878988,0.29950781714295244,-0.11516137474630071
Kurtosis,0.09168924171112015,-0.19768790753460064,0.010632020571603161,0.5033130278529274,1.0,-0.21387835003366293,-0.20343729582695325,-0.1994753971469422,-0.1941187099640289,-0.17728183275015277,0.21504168176574293,0.04819437238554495,0.12627182427627942,0.2322087769982388,0.2671193268864517,0.11906334852649898
5% Quantile,0.011530267979303127,0.9971976764895052,0.7453431618311331,-0.14919787121112202,-0.21387835003366293,1.0,0.9988364621467679,0.9972948296041239,0.995140128247649,0.9899081769767394,0.05252068321255198,0.032170678488463535,0.03153922729465887,0.008837030436284378,0.356371327695354,-0.2956532576428897
25% Quantile,0.009878591141528847,0.9996225260941403,0.7760136815708653,-0.15410985708952432,-0.20343729582695325,0.9988364621467679,1.0,0.9996692405667785,0.9986938068158379,0.9954649139711829,0.053172856893349385,0.03309728341105823,0.036994466856492866,0.013297799794540257,0.360562214888362,-0.2907224931567178
Median,0.009433840310208823,0.9999911369888755,0.791766223225139,-0.1540001034625824,-0.1994753971469422,0.9972948296041239,0.9996692405667785,1.0,0.9996743708270036,0.9975394116706595,0.05381001907703794,0.03446831268424628,0.03961124793560883,0.015258294652688617,0.36262004651948326,-0.28838557300185813
75% Quantile,0.009026848149151953,0.9997156612268047,0.8069818793996266,-0.15147194100957903,-0.1941187099640289,0.995140128247649,0.9986938068158379,0.9996743708270036,1.0,0.9989857442328607,0.055463622741010514,0.036245762586989264,0.04282691320198701,0.017738888632374647,0.3654145659560178,-0.2862030386995679
95% Quantile,0.009279973567148563,0.9976927039095993,0.8322823673650002,-0.1412362069863198,-0.17728183275015277,0.9899081769767394,0.9954649139711829,0.9975394116706595,0.9989857442328607,1.0,0.0606160332461722,0.0398597352931876,0.04919325625414913,0.02414534387554571,0.37310014832493965,-0.28277449943589195
T-1 Return,0.06492671942695222,0.05499820778071987,0.08266019642520446,0.2818258984880111,0.21504168176574293,0.05252068321255198,0.053172856893349385,0.05381001907703794,0.055463622741010514,0.0606160332461722,1.0,0.0020366163701562925,-0.0643213940038981,-0.057228151025433376,0.34363249273029745,-0.012675910082638043
T-2 Return,0.04453281772333969,0.035205524675790335,0.06284168743562657,0.16202023721799577,0.04819437238554495,0.032170678488463535,0.03309728341105823,0.03446831268424628,0.036245762586989264,0.0398597352931876,0.0020366163701562925,1.0,-0.046381926742035666,-0.024421096673249185,0.3061347021498039,-0.2721347770119505
T-3 Return,0.010389214005279038,0.04024832162760125,0.10849738618468592,0.09525276137715818,0.12627182427627942,0.03153922729465887,0.036994466856492866,0.03961124793560883,0.04282691320198701,0.04919325625414913,-0.0643213940038981,-0.046381926742035666,1.0,0.03588578330273087,0.2783504417753571,-0.09926881334750896
T-4 Return,0.05294407944583145,0.015972335888807292,0.08167270378123881,0.13599080504878988,0.2322087769982388,0.008837030436284378,0.013297799794540257,0.015258294652688617,0.017738888632374647,0.02414534387554571,-0.057228151025433376,-0.024421096673249185,0.03588578330273087,1.0,0.24972669108667545,-0.01552829662973021
Fear and Greed Index,0.090713053830739,0.364005882122391,0.3646980815892835,0.29950781714295244,0.2671193268864517,0.356371327695354,0.360562214888362,0.36262004651948326,0.3654145659560178,0.37310014832493965,0.34363249273029745,0.3061347021498039,0.2783504417753571,0.24972669108667545,1.0,-0.4180948712231716
VIX,-0.029649294401162984,-0.28871596625388474,-0.17485943853955635,-0.11516137474630071,0.11906334852649898,-0.2956532576428897,-0.2907224931567178,-0.28838557300185813,-0.2862030386995679,-0.28277449943589195,-0.012675910082638043,-0.2721347770119505,-0.09926881334750896,-0.01552829662973021,-0.4180948712231716,1.0
