type,observe_month,trades
Call,2020-01,34848
Call,2020-02,45540
Call,2020-03,46053
Call,2020-04,41596
Call,2020-05,53426
Call,2020-06,43094
Call,2020-07,51809
Call,2020-08,53278
Call,2020-09,41162
Call,2020-10,59698
Call,2020-11,132821
Call,2020-12,116411
Call,2021-01,201274
Call,2021-02,140930
Call,2021-03,144752
Call,2021-04,166323
Call,2021-05,176610
Call,2021-06,115211
Call,2021-07,99959
Call,2021-08,106291
Call,2021-09,96225
Call,2021-10,103017
Call,2021-11,91090
Call,2021-12,100124
Call,2022-01,97505
Call,2022-02,98491
Call,2022-03,99292
Call,2022-04,89487
Call,2022-05,176609
Call,2022-06,188504
Call,2022-07,126838
Call,2022-08,109201
Call,2022-09,175403
Call,2022-10,139249
Call,2022-11,157006
Call,2022-12,84590
Call,2023-01,145285
Call,2023-02,121458
Call,2023-03,193301
Call,2023-04,120426
Call,2023-05,131292
Call,2023-06,185995
Call,2023-07,129751
Call,2023-08,159411
Call,2023-09,135606
Call,2023-10,212045
Call,2023-11,229313
Call,2023-12,230109
Call,2024-01,242287
Call,2024-02,221242
Call,2024-03,303519
Call,2024-04,237713
Call,2024-05,211562
Call,2024-06,217055
Call,2024-07,253170
Call,2024-08,227263
Call,2024-09,171963
Call,2024-10,185012
Call,2024-11,273280
Call,2024-12,241153
Call,2025-01,249044
Call,2025-02,231751
Call,2025-03,245538
Call,2025-04,265400
Call,2025-05,267527
Call,2025-06,198063
Call,2025-07,244121
Call,2025-08,219595
Put,2020-01,26408
Put,2020-02,38600
Put,2020-03,46419
Put,2020-04,35272
Put,2020-05,48879
Put,2020-06,37379
Put,2020-07,40654
Put,2020-08,39454
Put,2020-09,39008
Put,2020-10,48196
Put,2020-11,102213
Put,2020-12,102299
Put,2021-01,196379
Put,2021-02,115336
Put,2021-03,139431
Put,2021-04,168965
Put,2021-05,174886
Put,2021-06,108535
Put,2021-07,81968
Put,2021-08,86063
Put,2021-09,76863
Put,2021-10,86184
Put,2021-11,75186
Put,2021-12,81009
Put,2022-01,78911
Put,2022-02,83683
Put,2022-03,79401
Put,2022-04,75864
Put,2022-05,157494
Put,2022-06,194773
Put,2022-07,113889
Put,2022-08,101198
Put,2022-09,159022
Put,2022-10,131043
Put,2022-11,166291
Put,2022-12,79013
Put,2023-01,126134
Put,2023-02,101815
Put,2023-03,155022
Put,2023-04,95960
Put,2023-05,90505
Put,2023-06,148663
Put,2023-07,93532
Put,2023-08,107758
Put,2023-09,110866
Put,2023-10,171426
Put,2023-11,178707
Put,2023-12,188909
Put,2024-01,194450
Put,2024-02,198230
Put,2024-03,251719
Put,2024-04,178627
Put,2024-05,171190
Put,2024-06,149743
Put,2024-07,191616
Put,2024-08,177569
Put,2024-09,139707
Put,2024-10,159972
Put,2024-11,257411
Put,2024-12,201290
Put,2025-01,198285
Put,2025-02,179933
Put,2025-03,192398
Put,2025-04,226502
Put,2025-05,231128
Put,2025-06,174610
Put,2025-07,182452
Put,2025-08,194884
