model_name,variables,filter_rule,num_rules,n_obs_after_filter,retention_ratio,n_oos,r2_1pt,r2_2pt,mse_1pt,mse_2pt,r2_os_1pt,r2_os_2pt,delta_1pt_minus_2pt,all_p_le_0_1_1pt,all_p_le_0_1_2pt,all_p_le_0_15_1pt,all_p_le_0_15_2pt,max_p_1pt,max_p_2pt,coef_1pt_Skewness,p_1pt_Skewness,coef_2pt_Skewness,p_2pt_Skewness,coef_1pt_Median,p_1pt_Median,coef_2pt_Median,p_2pt_Median,coef_1pt_Fear and Greed Index,p_1pt_Fear and Greed Index,coef_2pt_Fear and Greed Index,p_2pt_Fear and Greed Index,coef_1pt_Kurtosis,p_1pt_Kurtosis,coef_2pt_Kurtosis,p_2pt_Kurtosis
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND Fear and Greed Index >= 27.000000,2,181,0.6830188679245283,60,0.03275897239651404,0.032760288914810975,0.005614966770177826,0.005614959127608621,-0.16691555523214396,-0.16726058455616877,0.0003450293240248037,False,False,True,True,0.12190023363392284,0.12165131025212035,-0.016903386878516585,0.11317582275762256,-0.016896585881469906,0.11315857033817012,-3.3986203611423865e-07,0.12190023363392284,-3.401517912883937e-07,0.12165131025212035,0.0007697017478571111,0.03785878660699088,0.0007696567296911163,0.03786376539028008,,,,
model_1,Skewness + Median + Fear and Greed Index,Median >= 21085.300000 AND Fear and Greed Index >= 27.000000,2,181,0.6830188679245283,60,0.03275897239651404,0.032760288914810975,0.005614966770177826,0.005614959127608621,-0.16691555523214396,-0.16726058455616877,0.0003450293240248037,False,False,True,True,0.12190023363392284,0.12165131025212035,-0.016903386878516585,0.11317582275762256,-0.016896585881469906,0.11315857033817012,-3.3986203611423865e-07,0.12190023363392284,-3.401517912883937e-07,0.12165131025212035,0.0007697017478571111,0.03785878660699088,0.0007696567296911163,0.03786376539028008,,,,
model_1,Skewness + Median + Fear and Greed Index,Median >= 11541.060000 AND Fear and Greed Index >= 27.000000,2,193,0.7283018867924528,72,0.02774436853013673,0.0278040804439057,0.005836349327078383,0.0058359908826770696,-0.06460522582584627,-0.06462787171902806,2.2645893181794108e-05,False,False,True,True,0.11147650855653839,0.11112124935223205,-0.01679087113218121,0.09868976710273114,-0.016826015141401664,0.09797704240970168,-3.604845874821039e-07,0.08781360842182934,-3.608389054511182e-07,0.08753047276803574,0.0005571308003534614,0.11147650855653839,0.0005577360518991125,0.11112124935223205,,,,
model_1,Skewness + Median + Fear and Greed Index,Mean >= 11518.911118 AND Fear and Greed Index >= 27.000000,2,193,0.7283018867924528,72,0.02543838847644231,0.02545681633726482,0.0059074301018671735,0.0059073183990272,-0.08863342773449046,-0.08862802940737624,-5.398327114214396e-06,False,False,True,True,0.12811358146932392,0.12805216669409572,-0.01762520740043595,0.09186340293750418,-0.017627532402786784,0.09165988608456727,-3.3878698015755404e-07,0.11284965704118215,-3.389036717299414e-07,0.11273743212397994,0.00054270077762323,0.12811358146932392,0.0005427602807862124,0.12805216669409572,,,,
model_1,Skewness + Median + Fear and Greed Index,Std >= 905.962517 AND Fear and Greed Index >= 27.000000,2,192,0.7245283018867924,71,0.028706798976450232,0.02876353315358937,0.0058589892985977466,0.005858647069354947,-0.1020948846909937,-0.1020594303548028,-3.545433619089877e-05,False,False,True,True,0.10814099289377406,0.10739562770669044,-0.01631359802492035,0.10814099289377406,-0.01634149690868788,0.10739562770669044,-3.764670650667581e-07,0.07704979191751896,-3.766511138461822e-07,0.07690637146143246,0.0006279965750440747,0.08435460777090353,0.0006281918861177576,0.08419889105579881,,,,
model_1,Skewness + Median + Fear and Greed Index,Fear and Greed Index >= 27.000000 AND VIX <= 29.206000,2,203,0.7660377358490567,82,0.022779526899448288,0.022931239511873813,0.005790632458855928,0.005789733468298413,-0.052611302180879616,-0.05250762376454943,-0.00010367841633018848,False,False,True,True,0.1438165484570392,0.14281537143283032,-0.014757303801360278,0.13385511939464723,-0.0148724608259573,0.13121806855972382,-3.2267984725634325e-07,0.10288231655207936,-3.230793376410954e-07,0.10244683548497295,0.0005161988758625366,0.1438165484570392,0.0005174943350799983,0.14281537143283032,,,,
model_1,Skewness + Median + Fear and Greed Index,VIX <= 29.206000 AND T-4 Return >= -0.036365,2,192,0.7245283018867924,72,0.03154094513665184,0.03173355647373444,0.006180094813840977,0.0061788656897810434,-0.10112034433523331,-0.10097325561381121,-0.00014708872142210616,False,False,True,True,0.13239808323359412,0.1319074224260429,-0.018472815238345222,0.07372903306859449,-0.01859627527984848,0.07206796184949761,-3.274169313133132e-07,0.13239808323359412,-3.278082641313303e-07,0.1319074224260429,0.00076861922235655,0.029180229968891472,0.0007704383792308377,0.028814982927822735,,,,
model_1,Skewness + Median + Fear and Greed Index,Skewness >= -0.523269 AND Std >= 1391.698789,2,194,0.7320754716981132,73,0.017077915040231595,0.01710498321794718,0.006541322230710796,0.006541142092655764,-0.218129367611835,-0.21885702228848913,0.0007276546766541436,False,False,False,False,0.4644661061592168,0.46229627180594635,-0.009608966204400682,0.4644661061592168,-0.009652523018606468,0.46229627180594635,-2.75847470875728e-07,0.2604741083080625,-2.762614289035535e-07,0.2598679763933588,0.0005848493911130851,0.0792948627840436,0.0005855415828039614,0.07902611738385076,,,,
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND T-1 Return <= 0.106004,2,189,0.7132075471698113,68,0.01520548723632087,0.015204613944731493,0.006322496624433466,0.006322502231068207,-0.31075394914175924,-0.31146362794549587,0.0007096788037366242,False,False,False,False,0.783031212989185,0.7832595569206573,-0.0032815693024982866,0.783031212989185,-0.0032761508333927136,0.7832595569206573,-1.446625516147114e-07,0.539923611520696,-1.447031121457093e-07,0.5398641959305106,0.0005492738837559857,0.10449441732941056,0.0005492489351429516,0.10453569549013886,,,,
model_1,Skewness + Median + Fear and Greed Index,Median >= 21085.300000 AND T-1 Return <= 0.106004,2,189,0.7132075471698113,68,0.01520548723632087,0.015204613944731493,0.006322496624433466,0.006322502231068207,-0.31075394914175924,-0.31146362794549587,0.0007096788037366242,False,False,False,False,0.783031212989185,0.7832595569206573,-0.0032815693024982866,0.783031212989185,-0.0032761508333927136,0.7832595569206573,-1.446625516147114e-07,0.539923611520696,-1.447031121457093e-07,0.5398641959305106,0.0005492738837559857,0.10449441732941056,0.0005492489351429516,0.10453569549013886,,,,
model_1,Skewness + Median + Fear and Greed Index,Std >= 1391.698789 AND T-1 Return <= 0.106004,2,187,0.7056603773584905,66,0.01327006151431398,0.013319403072416303,0.006559326954139177,0.006558998954147086,-0.35769639034776746,-0.35840284009763157,0.0007064497498641131,False,False,False,False,0.3995116167533934,0.39649774260444814,-0.00985266136460494,0.3995116167533934,-0.00990344637689396,0.39649774260444814,-2.7474281534077573e-07,0.2592528903764711,-2.74988121903363e-07,0.25883934503718287,0.0004932591426744918,0.15039132137878441,0.0004941465756760704,0.14968474061799278,,,,
model_1,Skewness + Median + Fear and Greed Index,Std >= 1391.698789 AND T-1 Return >= -0.093502,2,188,0.7094339622641509,67,0.022012343880960072,0.021997272379777666,0.006545125291761134,0.006545226156902894,-0.35120515204908687,-0.3518137754786712,0.0006086234295843429,False,False,False,False,0.7574114526067204,0.7609223655035606,0.004040014502018404,0.7574114526067204,0.003974649589695716,0.7609223655035606,-2.784770920353248e-07,0.2433356542011462,-2.786615818233904e-07,0.24304611037732718,0.0005305820136446555,0.11017550642617722,0.0005311968298152478,0.10984260916074073,,,,
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180 AND T-4 Return >= -0.093502,2,189,0.7132075471698113,68,0.026005927365351345,0.025997828298983228,0.006224707990895823,0.006224759751296179,-0.2711755725219036,-0.27176731196338766,0.0005917394414840516,False,False,False,False,0.48422770615553057,0.4839349928323493,-0.011106811320846843,0.3247213996716287,-0.011093502964878373,0.3251043818410272,-1.641216210720287e-07,0.48422770615553057,-1.6426163168605823e-07,0.4839349928323493,0.000757632500524341,0.027983530631313754,0.0007575702530886201,0.0280079229156298,,,,
model_1,Skewness + Median + Fear and Greed Index,Median >= 21085.300000 AND T-4 Return >= -0.093502,2,189,0.7132075471698113,68,0.026005927365351345,0.025997828298983228,0.006224707990895823,0.006224759751296179,-0.2711755725219036,-0.27176731196338766,0.0005917394414840516,False,False,False,False,0.48422770615553057,0.4839349928323493,-0.011106811320846843,0.3247213996716287,-0.011093502964878373,0.3251043818410272,-1.641216210720287e-07,0.48422770615553057,-1.6426163168605823e-07,0.4839349928323493,0.000757632500524341,0.027983530631313754,0.0007575702530886201,0.0280079229156298,,,,
model_1,Skewness + Median + Fear and Greed Index,VIX >= 13.498000 AND T-3 Return <= 0.066016,2,190,0.7169811320754716,69,0.023332756063517923,0.023376478655571242,0.008080404830835839,0.008080043094281002,-0.10756344581419319,-0.10814642218304549,0.0005829763688522949,False,False,False,False,0.5896930436617192,0.5844293411175141,-0.00712781188901908,0.5896930436617192,-0.007249816010591488,0.5844293411175141,-2.7016210162362687e-07,0.2547266384210163,-2.7016547893562243e-07,0.2547101122961784,0.0007475403139436176,0.03982857979466305,0.0007486805733178167,0.039604953676266326,,,,
model_1,Skewness + Median + Fear and Greed Index,Skewness >= -0.268431 AND Mean >= 21165.788180,2,180,0.6792452830188679,60,0.019501597077052235,0.019520483722046955,0.005884510917812475,0.005884397568654186,-0.2324245452228626,-0.23299751323733697,0.0005729680144743732,False,False,False,False,0.40361293460951864,0.4028120223241295,-0.01771782604909685,0.1784268418523545,-0.017732270567626114,0.1780220524592917,-2.004001723227074e-07,0.40361293460951864,-2.0079225752589274e-07,0.4028120223241295,0.0005808082808316484,0.08792557958882595,0.0005811092271965336,0.08779568363995242,,,,
model_1,Skewness + Median + Fear and Greed Index,Skewness >= -0.268431 AND Median >= 21085.300000,2,180,0.6792452830188679,60,0.019501597077052235,0.019520483722046955,0.005884510917812475,0.005884397568654186,-0.2324245452228626,-0.23299751323733697,0.0005729680144743732,False,False,False,False,0.40361293460951864,0.4028120223241295,-0.01771782604909685,0.1784268418523545,-0.017732270567626114,0.1780220524592917,-2.004001723227074e-07,0.40361293460951864,-2.0079225752589274e-07,0.4028120223241295,0.0005808082808316484,0.08792557958882595,0.0005811092271965336,0.08779568363995242,,,,
