Variable,count,mean,std,min,25%,50%,75%,max
T Return,157.0,0.00497841717563017,0.08992555947709749,-0.3515568333095296,-0.0288922662439993,-0.0007468953982914,0.0472385713623595,0.3246760764207447
Mean,157.0,33103.27252374208,16779.891282423912,6080.310891264122,20241.21721110083,29498.757500490512,46489.04639593035,66241.80546559364
Std,157.0,2991.8237303836772,2376.4606859781406,486.268471059408,1264.7740182798304,2302.3865832884017,4053.446382840594,16962.7989482718
Skewness,157.0,0.05192168382661272,0.7185354294859428,-2.954468402346093,-0.2369728291020963,0.1054898226582974,0.2961536662493417,4.412055767316067
Kurtosis,157.0,2.175469687456961,3.0233133878487295,-9.252507702702587,1.20833240097559,1.6896492507720031,2.163441181501168,27.086280176998823
5% Quantile,157.0,28455.28662420382,14306.833439735014,3617.9,17655.2,26365.6,38921.2,60198.4
25% Quantile,157.0,31379.09681528662,15781.644500187878,5346.700000000001,19265.2,28340.300000000003,43047.0,63805.5
Median,157.0,33086.87006369427,16748.533313311673,6115.400000000001,20339.300000000003,29376.7,46219.2,66226.2
75% Quantile,157.0,34802.54904458598,17754.97360371287,6896.6,21412.4,30882.7,48963.7,68621.0
95% Quantile,157.0,37811.58152866243,19557.707712630065,8354.9,22980.1,32662.5,54096.8,75622.0
T-1 Return,157.0,0.003061598969404828,0.08975774395649498,-0.3515568333095296,-0.0284745338038486,0.000865650306503,0.0482197653818161,0.3246760764207447
T-2 Return,157.0,0.0023652011999756796,0.09443936213372325,-0.492833739120552,-0.0294114802183485,0.0020934338018519,0.0410369518835035,0.3246760764207447
T-3 Return,157.0,0.042151798394627765,0.06337589097574048,-0.0284309010292023,-0.0051339459504259,0.0250828014691888,0.0718138818710014,0.3246760764207447
T-4 Return,157.0,0.002727865778271291,0.09376791017537144,-0.492833739120552,-0.0288922662439993,-0.0029421410819543,0.0410369518835035,0.3071267293880281
Fear and Greed Index,157.0,49.02547770700637,20.73982575545144,9.0,32.0,48.0,66.0,95.0
VIX,157.0,20.890955414012737,7.065004925274518,12.28,16.25,19.63,24.46,66.04
