,count,mean,std,min,25%,50%,75%,max
T Return,1196.0,0.0021516993122169814,0.030846028873943592,-0.1525677793793299,-0.011646741636325975,0.0010406483609901001,0.016825913743179398,0.1352787146752529
Mean,1196.0,45878.460801242174,27986.406094833692,4845.705906803702,24389.339902148306,40902.328694716765,61572.660348565805,118056.77157163672
Std,1196.0,1653.784212309115,1893.3575778931063,164.91011051968914,729.0780214738523,1432.5453702442528,2145.909027784655,52509.45890858228
Skewness,1196.0,-0.039936701631579266,1.0604842689136744,-3.6113894702605567,-0.8037748270147961,-0.083681087409317,0.9041146548292677,3.713690588634589
Kurtosis,1196.0,1.6589023788910537,2.845270373655857,-7.542087483319158,-0.06115330298464713,1.3472512047167258,2.996772468655651,11.18417103199845
Median,1196.0,46550.4581103679,28060.345955050412,5228.400000000001,25035.75,41674.200000000004,62119.05,118512.1
Fear and Greed Index,1196.0,50.801839464882946,21.419031852159666,7.0,30.0,52.0,71.0,95.0
VIX,1196.0,20.374230769230767,6.528816842732522,11.86,15.8025,18.81,23.53,65.54
T-1 Return,1196.0,0.0020740276269987177,0.029951183125842166,-0.1525677793793299,-0.01145667599280155,0.0009789741508823,0.016248806665924674,0.1352787146752529
T-2 Return,1196.0,0.0022034822535965774,0.03097928329960602,-0.1525677793793299,-0.01179323987062915,0.0011200330752841,0.016860901015794925,0.1352787146752529
T-3 Return,1196.0,0.002133115031436076,0.03036482466374986,-0.1394964019344246,-0.011887749005977074,0.0009789741508823,0.016784613253978124,0.1352787146752529
T-4 Return,1196.0,0.001770799731107894,0.029718075582345807,-0.1525677793793299,-0.01135682270978175,0.0010406483609901001,0.015981579921375125,0.1260436282510232
