model_id,variables,num_variables,n_obs,rsquared,adj_rsquared,aic,bic,core_factors,core_factor_min_pvalue,pass_pvalue_screen
model_0134,Skewness + Mean + Std + Median + T-2 Return,5,1196,0.03892448748206501,0.03488635507652749,-4963.546840363414,-4933.0264127563505,Skewness,2.2298519784901734e-10,True
model_0047,Skewness + Mean + Std + Median,4,1196,0.03648541703938357,0.03324943187410856,-4962.515410639199,-4937.081720966647,Skewness,2.7190925344562825e-10,True
model_0136,Skewness + Mean + Std + Median + T-4 Return,5,1196,0.037054681520004795,0.033008692786895555,-4961.222241171338,-4930.701813564275,Skewness,2.767725205140478e-10,True
model_0132,Skewness + Mean + Std + Median + VIX,5,1196,0.03773255037819356,0.033689409833564166,-4962.064466198442,-4931.544038591378,Skewness,2.9151729889901595e-10,True
model_0057,Skewness + Mean + Median + T-2 Return,4,1196,0.03643886162577015,0.033202720103102656,-4962.457623315041,-4937.023933642488,Skewness,7.754876195139126e-10,True
model_0165,Skewness + Mean + Median + T-2 Return + T-4 Return,5,1196,0.03702582448753322,0.03297971450638837,-4961.18640061731,-4930.6659730102465,Skewness,7.945362565912119e-10,True
model_0158,Skewness + Mean + Median + VIX + T-2 Return,5,1196,0.0376444284813825,0.033600917676682385,-4961.954944710335,-4931.434517103272,Skewness,8.414306094706967e-10,True
model_0012,Skewness + Mean + Median,3,1196,0.03394341711090554,0.031512066650614234,-4961.364209245789,-4941.017257507747,Skewness,9.606668828196181e-10,True
model_0059,Skewness + Mean + Median + T-4 Return,4,1196,0.03448713859262831,0.03124444216472777,-4960.037538295631,-4934.603848623078,Skewness,9.85832093813275e-10,True
model_0055,Skewness + Mean + Median + VIX,4,1196,0.035153054107345594,0.03191259417151804,-4960.862705691038,-4935.4290160184855,Skewness,1.041843773667117e-09,True
model_0160,Skewness + Mean + Median + VIX + T-4 Return,5,1196,0.03566944725204502,0.03161763820688557,-4959.50298499789,-4928.9825573908265,Skewness,1.068035893805225e-09,True
model_0023,Skewness + Std + T-2 Return,3,1196,0.030835694503069555,0.028396522593261864,-4957.522953235874,-4937.176001497832,Skewness,5.579837778896434e-09,True
model_0008,Skewness + T-2 Return,2,1196,0.030355911572865102,0.028730355682794473,-4958.9310222353315,-4943.6708084318,Skewness,5.66310426523955e-09,True
model_0094,Skewness + Std + T-2 Return + T-4 Return,4,1196,0.031373753541832916,0.028120600740965784,-4956.187130926543,-4930.753441253991,Skewness,5.8485712627563995e-09,True
model_0045,Skewness + T-2 Return + T-4 Return,3,1196,0.03089034296843285,0.02845130859670919,-4957.590394233231,-4937.243442495188,Skewness,5.935796981322479e-09,True
model_0090,Skewness + Std + T-1 Return + T-2 Return,4,1196,0.03170632362904535,0.028454287772215925,-4956.597838487064,-4931.1641488145115,Skewness,6.156208921908406e-09,True
model_0041,Skewness + T-1 Return + T-2 Return,3,1196,0.03128070651231285,0.02884265459917279,-4958.07224770608,-4937.725295968037,Skewness,6.250978109855852e-09,True
model_0219,Skewness + Std + T-1 Return + T-2 Return + T-4 Return,5,1196,0.032225541503032806,0.028159262265650575,-4955.239328919134,-4924.718901312071,Skewness,6.442361912612029e-09,True
model_0128,Skewness + T-1 Return + T-2 Return + T-4 Return,4,1196,0.031796012006049756,0.028544277369630056,-4956.708623334317,-4931.274933661764,Skewness,6.541616883971173e-09,True
model_0051,Skewness + Mean + Std + T-2 Return,4,1196,0.03125900107679047,0.02800546287721628,-4956.045450046288,-4930.611760373736,Skewness,6.566156410986104e-09,True
model_0150,Skewness + Mean + Std + T-2 Return + T-4 Return,5,1196,0.031806217525849556,0.027738176423017014,-4954.721230043399,-4924.200802436336,Skewness,6.781658860832993e-09,True
model_0143,Skewness + Mean + Std + VIX + T-2 Return,5,1196,0.0326047913875378,0.028540105637065327,-4955.708107316589,-4925.187679709526,Skewness,6.827830783881663e-09,True
model_0003,Skewness + Std,2,1196,0.02805104442020745,0.02642162454496888,-4956.091475175795,-4940.831261372263,Skewness,7.525197440239534e-09,True
model_0001,Skewness,1,1196,0.0275683938722725,0.026753962041344836,-4957.497712742087,-4947.324236873066,Skewness,7.638774120790411e-09,True
model_0146,Skewness + Mean + Std + T-1 Return + T-2 Return,5,1196,0.032086968956722806,0.0280201074817511,-4955.068089742806,-4924.547662135742,Skewness,7.68981216629134e-09,True
model_0025,Skewness + Std + T-4 Return,3,1196,0.028544325963437367,0.026099387186499734,-4954.698620727863,-4934.351668989821,Skewness,7.894797757548989e-09,True
