model_id,variables,method,variable,coefficient,p_value,final_filter_rule,retention_ratio
model_0187,Skewness + Mean + Std + Median + T-2 Return,1pt,const,0.0014370547243256193,0.5579300528301177,Fear and Greed Index <= 76.000000 AND Median <= 63892.400000,0.7255230125523012
model_0187,Skewness + Mean + Std + Median + T-2 Return,1pt,Skewness,0.005736397806311474,5.386833981775331e-08,Fear and Greed Index <= 76.000000 AND Median <= 63892.400000,0.7255230125523012
model_0187,Skewness + Mean + Std + Median + T-2 Return,1pt,Mean,1.1805412355772442e-06,0.03820264715699087,Fear and Greed Index <= 76.000000 AND Median <= 63892.400000,0.7255230125523012
model_0187,Skewness + Mean + Std + Median + T-2 Return,1pt,Std,-5.394616287454036e-07,0.37049304868862565,Fear and Greed Index <= 76.000000 AND Median <= 63892.400000,0.7255230125523012
model_0187,Skewness + Mean + Std + Median + T-2 Return,1pt,Median,-1.123651547084235e-06,0.042349374123872886,Fear and Greed Index <= 76.000000 AND Median <= 63892.400000,0.7255230125523012
model_0187,Skewness + Mean + Std + Median + T-2 Return,1pt,T-2 Return,0.02442207555779784,0.4584317742651953,Fear and Greed Index <= 76.000000 AND Median <= 63892.400000,0.7255230125523012
model_0187,Skewness + Mean + Std + Median + T-2 Return,2pt,const,0.0012729670025723122,0.6045861021233777,Fear and Greed Index <= 76.000000 AND Median <= 63892.400000,0.7255230125523012
model_0187,Skewness + Mean + Std + Median + T-2 Return,2pt,Skewness,0.0057939175122708455,5.2239199163003764e-08,Fear and Greed Index <= 76.000000 AND Median <= 63892.400000,0.7255230125523012
model_0187,Skewness + Mean + Std + Median + T-2 Return,2pt,Mean,1.182118486504518e-06,0.03794186052526728,Fear and Greed Index <= 76.000000 AND Median <= 63892.400000,0.7255230125523012
model_0187,Skewness + Mean + Std + Median + T-2 Return,2pt,Std,-5.375141646066402e-07,0.3720567322307601,Fear and Greed Index <= 76.000000 AND Median <= 63892.400000,0.7255230125523012
model_0187,Skewness + Mean + Std + Median + T-2 Return,2pt,Median,-1.1217962534337686e-06,0.04264890016365284,Fear and Greed Index <= 76.000000 AND Median <= 63892.400000,0.7255230125523012
model_0187,Skewness + Mean + Std + Median + T-2 Return,2pt,T-2 Return,0.0247882961204807,0.45170348423586637,Fear and Greed Index <= 76.000000 AND Median <= 63892.400000,0.7255230125523012
model_0058,Skewness + Mean + Std + Median,1pt,const,0.0014829133587139125,0.5452036547086128,Fear and Greed Index <= 76.000000 AND Median <= 63892.400000,0.7255230125523012
model_0058,Skewness + Mean + Std + Median,1pt,Skewness,0.005740492406302003,5.2276893473625184e-08,Fear and Greed Index <= 76.000000 AND Median <= 63892.400000,0.7255230125523012
model_0058,Skewness + Mean + Std + Median,1pt,Mean,1.214683475522913e-06,0.03235292763113846,Fear and Greed Index <= 76.000000 AND Median <= 63892.400000,0.7255230125523012
model_0058,Skewness + Mean + Std + Median,1pt,Std,-5.667094406358566e-07,0.34580235868244136,Fear and Greed Index <= 76.000000 AND Median <= 63892.400000,0.7255230125523012
model_0058,Skewness + Mean + Std + Median,1pt,Median,-1.1565697811453992e-06,0.03602056392110435,Fear and Greed Index <= 76.000000 AND Median <= 63892.400000,0.7255230125523012
model_0058,Skewness + Mean + Std + Median,2pt,const,0.0013202309618435004,0.5910257843033446,Fear and Greed Index <= 76.000000 AND Median <= 63892.400000,0.7255230125523012
model_0058,Skewness + Mean + Std + Median,2pt,Skewness,0.005796498106181832,5.113213040064025e-08,Fear and Greed Index <= 76.000000 AND Median <= 63892.400000,0.7255230125523012
model_0058,Skewness + Mean + Std + Median,2pt,Mean,1.216563500779592e-06,0.032091578707354386,Fear and Greed Index <= 76.000000 AND Median <= 63892.400000,0.7255230125523012
model_0058,Skewness + Mean + Std + Median,2pt,Std,-5.649967637414864e-07,0.34710987296814366,Fear and Greed Index <= 76.000000 AND Median <= 63892.400000,0.7255230125523012
model_0058,Skewness + Mean + Std + Median,2pt,Median,-1.1550296470538175e-06,0.03623870296930313,Fear and Greed Index <= 76.000000 AND Median <= 63892.400000,0.7255230125523012
model_0189,Skewness + Mean + Std + Median + T-4 Return,1pt,const,0.001480878029063964,0.5459886545451561,Fear and Greed Index <= 76.000000 AND Median <= 63892.400000,0.7255230125523012
model_0189,Skewness + Mean + Std + Median + T-4 Return,1pt,Skewness,0.005739779852713401,5.340424666310818e-08,Fear and Greed Index <= 76.000000 AND Median <= 63892.400000,0.7255230125523012
model_0189,Skewness + Mean + Std + Median + T-4 Return,1pt,Mean,1.2176115063059566e-06,0.032131150861526056,Fear and Greed Index <= 76.000000 AND Median <= 63892.400000,0.7255230125523012
model_0189,Skewness + Mean + Std + Median + T-4 Return,1pt,Std,-5.698423170076121e-07,0.3436878662071543,Fear and Greed Index <= 76.000000 AND Median <= 63892.400000,0.7255230125523012
model_0189,Skewness + Mean + Std + Median + T-4 Return,1pt,Median,-1.1590081455266013e-06,0.03581097277196563,Fear and Greed Index <= 76.000000 AND Median <= 63892.400000,0.7255230125523012
model_0189,Skewness + Mean + Std + Median + T-4 Return,1pt,T-4 Return,-0.005365426136001621,0.8764086468584839,Fear and Greed Index <= 76.000000 AND Median <= 63892.400000,0.7255230125523012
model_0189,Skewness + Mean + Std + Median + T-4 Return,2pt,const,0.0013182924094028627,0.5917859211427916,Fear and Greed Index <= 76.000000 AND Median <= 63892.400000,0.7255230125523012
model_0189,Skewness + Mean + Std + Median + T-4 Return,2pt,Skewness,0.0057957080212053666,5.2260251565058806e-08,Fear and Greed Index <= 76.000000 AND Median <= 63892.400000,0.7255230125523012
model_0189,Skewness + Mean + Std + Median + T-4 Return,2pt,Mean,1.219392046036357e-06,0.0318830518723895,Fear and Greed Index <= 76.000000 AND Median <= 63892.400000,0.7255230125523012
model_0189,Skewness + Mean + Std + Median + T-4 Return,2pt,Std,-5.680294125192922e-07,0.3450670356837713,Fear and Greed Index <= 76.000000 AND Median <= 63892.400000,0.7255230125523012
model_0189,Skewness + Mean + Std + Median + T-4 Return,2pt,Median,-1.1573820697645292e-06,0.03603936543533425,Fear and Greed Index <= 76.000000 AND Median <= 63892.400000,0.7255230125523012
model_0189,Skewness + Mean + Std + Median + T-4 Return,2pt,T-4 Return,-0.005256563973912444,0.8788922009975331,Fear and Greed Index <= 76.000000 AND Median <= 63892.400000,0.7255230125523012
model_0185,Skewness + Mean + Std + Median + VIX,1pt,const,-0.005355336276324413,0.33289071789015245,Fear and Greed Index <= 76.000000 AND Median <= 63892.400000,0.7255230125523012
