model_id,variables,num_variables,screening_required_factor_pvalue,final_filter_rule,n_obs_after_filter,retention_ratio,n_oos,r2_os_1pt,r2_os_2pt,delta_1pt_minus_2pt,pass_oos_rule
model_0189,Skewness + Mean + Std + Median + T-4 Return,5,2.767725205140478e-10,Fear and Greed Index <= 76.000000 AND Median <= 63892.400000,867,0.7255230125523012,747,-0.17929773481914468,-0.18172445266920945,0.0024267178500647635,False
model_0185,Skewness + Mean + Std + Median + VIX,5,2.9151729889901595e-10,Fear and Greed Index <= 76.000000 AND Median <= 63892.400000,867,0.7255230125523012,747,-0.16696328469259658,-0.16908647498165763,0.00212319028906105,False
model_0058,Skewness + Mean + Std + Median,4,2.7190925344562825e-10,Fear and Greed Index <= 76.000000 AND Median <= 63892.400000,867,0.7255230125523012,747,-0.1618459423543337,-0.16375071013438358,0.0019047677800498874,False
model_0187,Skewness + Mean + Std + Median + T-2 Return,5,2.2298519784901734e-10,Fear and Greed Index <= 76.000000 AND Median <= 63892.400000,867,0.7255230125523012,747,-0.16513574157234112,-0.1669283077353354,0.0017925661629942802,False
model_0177,Skewness + Mean + Std + Kurtosis + Median,5,4.918927886816559e-07,Fear and Greed Index <= 76.000000 AND Mean <= 63691.909415,867,0.7255230125523012,747,-0.13122654878279327,-0.13263946882120758,0.0014129200384143115,False
model_0065,Skewness + Mean + Kurtosis + Median,4,8.393609118500136e-07,T-2 Return <= 0.021495,956,0.8,836,-0.04386656916134246,-0.04484801758330259,0.0009814484219601294,False
model_0206,Skewness + Mean + Kurtosis + Median + VIX,5,9.743392071655415e-07,T-2 Return <= 0.021495,956,0.8,836,-0.04392770118657818,-0.04489597541707813,0.0009682742304999437,False
model_0210,Skewness + Mean + Kurtosis + Median + T-4 Return,5,8.735689200217254e-07,T-2 Return <= 0.021495,956,0.8,836,-0.04628117702650325,-0.04720584272213291,0.0009246656956296562,False
model_0208,Skewness + Mean + Kurtosis + Median + T-2 Return,5,8.811828977963398e-07,Skewness <= 1.014132,956,0.8,836,-0.024375179629078758,-0.02515419195203661,0.0007790123229578505,False
model_0117,Skewness + Std + T-1 Return + T-4 Return,4,8.667966991598028e-09,Skewness <= 1.196093 AND Std <= 2296.819098,860,0.7196652719665272,740,-0.05835467875907141,-0.05898571574582401,0.0006310369867525978,False
model_0028,Skewness + Std + T-4 Return,3,7.894797757548989e-09,Skewness <= 1.196093 AND Std <= 2296.819098,860,0.7196652719665272,740,-0.047198074728164396,-0.047687226731968124,0.0004891520038037278,False
model_0083,Skewness + Mean + VIX + T-1 Return,4,1.539284071431508e-08,Skewness <= 1.014132,956,0.8,836,-0.01681478298210659,-0.01711091553642441,0.0002961325543178184,False
model_0073,Skewness + Mean + Median + VIX,4,1.041843773667117e-09,Skewness <= 1.014132,956,0.8,836,-0.01677723015002819,-0.01705658847582403,0.0002793583257958421,False
model_0008,Skewness + T-1 Return,2,8.400727140636337e-09,Skewness <= 1.014132,956,0.8,836,-0.011841535855527052,-0.012118231619137942,0.0002766957636108902,False
model_0047,Skewness + VIX + T-1 Return,3,1.8954550350641176e-08,Skewness <= 1.014132,956,0.8,836,-0.013571929907180147,-0.013845807651158282,0.0002738777439781348,False
model_0253,Skewness + Mean + VIX + T-1 Return + T-4 Return,5,1.5925432075800205e-08,Skewness <= 1.014132,956,0.8,836,-0.020648731675938947,-0.02092080034671895,0.0002720686707800013,False
model_0157,Skewness + Fear and Greed Index + VIX + T-1 Return,4,2.3596220927669113e-08,Skewness <= 1.014132,956,0.8,836,-0.017997607932938697,-0.018266531682168408,0.0002689237492297103,False
model_0014,Skewness + Mean + Median,3,9.606668828196181e-10,Skewness <= 1.014132,956,0.8,836,-0.014604417623401256,-0.014872344883679833,0.0002679272602785776,False
model_0300,Skewness + Std + Fear and Greed Index + VIX + T-4 Return,5,2.1643255449237757e-08,Fear and Greed Index >= 27.000000 AND Std <= 2828.371222,874,0.7313807531380753,754,-0.04513139663818011,-0.04539461086239527,0.00026321422421515805,False
model_0119,Skewness + Std + T-2 Return + T-4 Return,4,5.8485712627563995e-09,Fear and Greed Index >= 27.000000 AND Std <= 2828.371222,874,0.7313807531380753,754,-0.04453170796624151,-0.044793719809403276,0.00026201184316176906,False
model_0053,Skewness + T-1 Return + T-4 Return,3,8.800078746306039e-09,Skewness <= 1.014132,956,0.8,836,-0.015695373673798363,-0.015954363636785818,0.0002589899629874548,False
model_0169,Skewness + VIX + T-1 Return + T-4 Return,4,1.9643345964433974e-08,Skewness <= 1.014132,956,0.8,836,-0.017440907432746622,-0.017697348610883123,0.0002564411781365017,False
model_0234,Skewness + Mean + Median + VIX + T-4 Return,5,1.068035893805225e-09,Skewness <= 1.014132,956,0.8,836,-0.020407341595175543,-0.02066373694509238,0.0002563953499168381,False
model_0001,Skewness,1,7.638774120790411e-09,Skewness <= 1.014132,956,0.8,836,-0.0057718574128662326,-0.006023245901684682,0.0002513884888184492,False
model_0025,Skewness + Std + T-1 Return,3,8.274563624861121e-09,Skewness <= 1.014132,956,0.8,836,-0.015071762806047717,-0.0153221359373239,0.00025037313127618255,False
model_0374,Skewness + Fear and Greed Index + VIX + T-1 Return + T-4 Return,5,2.5173279227390107e-08,Skewness <= 1.014132,956,0.8,836,-0.021852356094470116,-0.02210146106779165,0.0002491049733215345,False
model_0016,Skewness + Mean + VIX,3,1.3615796737769522e-08,Skewness <= 1.014132,956,0.8,836,-0.010270739733885925,-0.010518724325277118,0.00024798459139119267,False
model_0007,Skewness + VIX,2,1.7343775954439932e-08,Skewness <= 1.014132,956,0.8,836,-0.00754611623523771,-0.007793137172433795,0.0002470209371960852,False
model_0106,Skewness + Std + Fear and Greed Index + VIX,4,2.028055489526724e-08,Fear and Greed Index >= 27.000000 AND VIX <= 25.850000,874,0.7313807531380753,754,-0.07454168667470129,-0.07478699859610116,0.0002453119213998711,False
model_0077,Skewness + Mean + Median + T-4 Return,4,9.85832093813275e-10,Skewness <= 1.014132,956,0.8,836,-0.018218902024356387,-0.018464036921368665,0.000245134897012278,False
model_0011,Skewness + T-4 Return,2,8.013759808861304e-09,Skewness <= 1.014132,956,0.8,836,-0.009084229139302957,-0.009324900048960805,0.00024067090965784743,False
model_0042,Skewness + Fear and Greed Index + VIX,3,2.130656379543121e-08,Skewness <= 1.014132,956,0.8,836,-0.012020984701401893,-0.012259105622103972,0.00023812092070207846,False
model_0050,Skewness + VIX + T-4 Return,3,1.799544525573026e-08,Skewness <= 1.014132,956,0.8,836,-0.010863804658394871,-0.011100167914515069,0.00023636325612019782,False
