model_id,variables,variable,coefficient,p_value
model_0001,Skewness,const,0.006389068160784942,0.2613363429072044
model_0001,Skewness,Skewness,0.005936363595254207,0.6972381635685323
model_0002,Skewness + Mean,const,0.011708511773964843,0.274399827457404
model_0002,Skewness + Mean,Skewness,0.006530237255293177,0.6697815021595948
model_0002,Skewness + Mean,Mean,-1.1409782339402481e-07,0.5573299241438874
model_0003,Skewness + Std,const,0.009031753985256121,0.411694075794086
model_0003,Skewness + Std,Skewness,0.006303900509360371,0.6811849200429052
model_0003,Skewness + Std,Std,-7.526687958965483e-07,0.7787739521521075
model_0004,Skewness + Median,const,0.01169530585156852,0.27497901043932765
model_0004,Skewness + Median,Skewness,0.006490201242796398,0.6716028664962721
model_0004,Skewness + Median,Median,-1.1382267898344207e-07,0.5583521027245208
model_0005,Skewness + Fear and Greed Index,const,-0.00846641732565344,0.5862009697538457
model_0005,Skewness + Fear and Greed Index,Skewness,-0.0011783513777109,0.94393482572612
model_0005,Skewness + Fear and Greed Index,Fear and Greed Index,0.0003033343613970268,0.30524355976862727
model_0006,Skewness + VIX,const,0.011648349963264911,0.52484451439665
model_0006,Skewness + VIX,Skewness,0.004610060838228847,0.7719136027539433
model_0006,Skewness + VIX,VIX,-0.00025529337466409486,0.7625226705648039
model_0007,Skewness + T-1 Return,const,0.005972313644989042,0.2954109078611847
model_0007,Skewness + T-1 Return,Skewness,0.003287713380315471,0.8324538028739499
model_0007,Skewness + T-1 Return,T-1 Return,0.07154043083708746,0.3658694957183878
model_0008,Skewness + T-2 Return,const,0.006266574134843222,0.2717433168975658
model_0008,Skewness + T-2 Return,Skewness,0.004892992522474077,0.7510323139322721
model_0008,Skewness + T-2 Return,T-2 Return,0.03457933027702234,0.6154868022812138
model_0009,Skewness + T-3 Return,const,0.006393152917185341,0.2623911455741026
model_0009,Skewness + T-3 Return,Skewness,0.005981647322013178,0.699478524782779
model_0009,Skewness + T-3 Return,T-3 Return,-0.0011606469068538492,0.9856357568585375
model_0010,Skewness + T-4 Return,const,0.006438553528120824,0.2592249423534672
model_0010,Skewness + T-4 Return,Skewness,0.0064470527385691225,0.6789082173286762
model_0010,Skewness + T-4 Return,T-4 Return,-0.01108567088176361,0.8632592524688192
model_0011,Skewness + Mean + Std,const,0.01056779064246039,0.3499967594821173
model_0011,Skewness + Mean + Std,Skewness,0.006264042572581668,0.6834845373022607
model_0011,Skewness + Mean + Std,Mean,-1.9817984698790113e-07,0.5448819295101142
model_0011,Skewness + Mean + Std,Std,1.4413696811453402e-06,0.7491735310077154
model_0012,Skewness + Mean + Median,const,0.011601304427692914,0.27980181967497086
model_0012,Skewness + Mean + Median,Skewness,0.013266287612938943,0.5639605722090006
model_0012,Skewness + Mean + Median,Mean,-2.0028538500403843e-05,0.6923647484637069
model_0012,Skewness + Mean + Median,Median,1.9918159748147488e-05,0.6940257792530335
model_0013,Skewness + Mean + Fear and Greed Index,const,-0.0048351988396366985,0.7606095823234997
model_0013,Skewness + Mean + Fear and Greed Index,Skewness,-0.003584869270223362,0.8318317483209847
model_0013,Skewness + Mean + Fear and Greed Index,Mean,-2.4210007548343673e-07,0.2589613327614335
model_0013,Skewness + Mean + Fear and Greed Index,Fear and Greed Index,0.0004596606548806526,0.1595818548416272
model_0014,Skewness + Mean + VIX,const,0.023013906307531744,0.3402798618681726
model_0014,Skewness + Mean + VIX,Skewness,0.004280112551004724,0.7881168833653536
model_0014,Skewness + Mean + VIX,Mean,-1.4952406360697762e-07,0.4683699771297518
model_0014,Skewness + Mean + VIX,VIX,-0.00046860790152188704,0.6007803845474292
model_0015,Skewness + Mean + T-1 Return,const,0.011417127820357963,0.2868721944869658
model_0015,Skewness + Mean + T-1 Return,Skewness,0.0038684651920319942,0.8040453785668485
model_0015,Skewness + Mean + T-1 Return,Mean,-1.1688008186000213e-07,0.5479529936213716
model_0015,Skewness + Mean + T-1 Return,T-1 Return,0.07228600188989182,0.36159608267938936
model_0016,Skewness + Mean + T-2 Return,const,0.011927315672142492,0.26658363624384046
model_0016,Skewness + Mean + T-2 Return,Skewness,0.005433845820571008,0.7253317135506465
model_0016,Skewness + Mean + T-2 Return,Mean,-1.2165090505362757e-07,0.5331911179470644
model_0016,Skewness + Mean + T-2 Return,T-2 Return,0.03763945011937978,0.5860221444881822
model_0017,Skewness + Mean + T-3 Return,const,0.011718374076362201,0.2753508769377965
model_0017,Skewness + Mean + T-3 Return,Skewness,0.006472315658043178,0.6770391523883144
model_0017,Skewness + Mean + T-3 Return,Mean,-1.1442472040627034e-07,0.5580090235757165
model_0017,Skewness + Mean + T-3 Return,T-3 Return,0.001528172454040307,0.981161124649438
model_0018,Skewness + Mean + T-4 Return,const,0.011676073846549551,0.27681564547101223
model_0018,Skewness + Mean + T-4 Return,Skewness,0.006934323141427837,0.6570684219671401
model_0018,Skewness + Mean + T-4 Return,Mean,-1.1254540527958595e-07,0.5641358930514047
model_0018,Skewness + Mean + T-4 Return,T-4 Return,-0.00894700488353351,0.8897807797531258
model_0019,Skewness + Std + Median,const,0.010563880440581297,0.3502337015152137
model_0019,Skewness + Std + Median,Skewness,0.006198161907855439,0.6866534824648458
model_0019,Skewness + Std + Median,Std,1.4276383531329065e-06,0.7512606569633205
model_0019,Skewness + Std + Median,Median,-1.9707591518197192e-07,0.5468235033656588
model_0020,Skewness + Std + Fear and Greed Index,const,-0.005602734694916495,0.7259729813487374
model_0020,Skewness + Std + Fear and Greed Index,Skewness,-0.0025659915559370855,0.8790514132808701
model_0020,Skewness + Std + Fear and Greed Index,Std,-2.3122931831941796e-06,0.43316294088300344
model_0020,Skewness + Std + Fear and Greed Index,Fear and Greed Index,0.00041063588051263943,0.20839379275207867
model_0021,Skewness + Std + VIX,const,0.01638636127863076,0.4713615429248168
model_0021,Skewness + Std + VIX,Skewness,0.004745729266651348,0.7658743463260133
model_0021,Skewness + Std + VIX,Std,-9.685288247589382e-07,0.7244071795959501
model_0021,Skewness + Std + VIX,VIX,-0.0003202138356980407,0.7116342927400308
model_0022,Skewness + Std + T-1 Return,const,0.009052635767629958,0.4107674065063721
model_0022,Skewness + Std + T-1 Return,Skewness,0.003667697867904971,0.8142718167444862
model_0022,Skewness + Std + T-1 Return,Std,-8.795312236902882e-07,0.7431261881991776
model_0022,Skewness + Std + T-1 Return,T-1 Return,0.07287745533615622,0.3585166151979211
model_0023,Skewness + Std + T-2 Return,const,0.009351688380851835,0.39676512745306947
model_0023,Skewness + Std + T-2 Return,Skewness,0.0052616699760614305,0.7341224892295659
model_0023,Skewness + Std + T-2 Return,Std,-8.807305956815935e-07,0.7437537443367339
model_0023,Skewness + Std + T-2 Return,T-2 Return,0.03661403012550426,0.5970373046173036
model_0024,Skewness + Std + T-3 Return,const,0.009045015626567655,0.4134718559418763
model_0024,Skewness + Std + T-3 Return,Skewness,0.006268150817136773,0.6870470431251956
model_0024,Skewness + Std + T-3 Return,Std,-7.574239744441219e-07,0.77935242633122
model_0024,Skewness + Std + T-3 Return,T-3 Return,0.0009757987100548445,0.9880293463894269
model_0025,Skewness + Std + T-4 Return,const,0.008945633040831005,0.41776394150778196
model_0025,Skewness + Std + T-4 Return,Skewness,0.006723328626839984,0.6672657061660898
model_0025,Skewness + Std + T-4 Return,Std,-7.160719138533273e-07,0.7905670798823172
model_0025,Skewness + Std + T-4 Return,T-4 Return,-0.009492566343385788,0.8834777186350895
model_0026,Skewness + Median + Fear and Greed Index,const,-0.004839384255155802,0.7604137730971687
model_0026,Skewness + Median + Fear and Greed Index,Skewness,-0.0036630625285846907,0.8283149406223274
model_0026,Skewness + Median + Fear and Greed Index,Median,-2.4178301512338614e-07,0.2596728932551221
model_0026,Skewness + Median + Fear and Greed Index,Fear and Greed Index,0.0004594278805956057,0.15979569692252546
model_0027,Skewness + Median + VIX,const,0.022994385983423203,0.34076227563430506
model_0027,Skewness + Median + VIX,Skewness,0.004229672735302412,0.790583818999429
model_0027,Skewness + Median + VIX,Median,-1.4925184278498392e-07,0.46929095402845944
model_0027,Skewness + Median + VIX,VIX,-0.00046830048905832823,0.601045369762623
model_0028,Skewness + Median + T-1 Return,const,0.011404740409540664,0.28743193236924997
model_0028,Skewness + Median + T-1 Return,Skewness,0.0038274661057145945,0.8060327535041802
model_0028,Skewness + Median + T-1 Return,Median,-1.1662305663746899e-07,0.5489064531458026
model_0028,Skewness + Median + T-1 Return,T-1 Return,0.07228890851058464,0.3615792575214415
model_0029,Skewness + Median + T-2 Return,const,0.011913946782838582,0.26715714580491046
model_0029,Skewness + Median + T-2 Return,Skewness,0.005391497680710849,0.7273269244941987
model_0029,Skewness + Median + T-2 Return,Median,-1.2137213025019369e-07,0.5342030972050994
model_0029,Skewness + Median + T-2 Return,T-2 Return,0.03763059369320143,0.5861109246917731
model_0030,Skewness + Median + T-3 Return,const,0.011705082670719975,0.275931942476749
model_0030,Skewness + Median + T-3 Return,Skewness,0.006432564634851556,0.6788455613273097
model_0030,Skewness + Median + T-3 Return,Median,-1.1414697516856715e-07,0.5590337265889174
model_0030,Skewness + Median + T-3 Return,T-3 Return,0.0015177020097008594,0.9812901245315895
model_0031,Skewness + Median + T-4 Return,const,0.011663208668356734,0.27737996071123217
model_0031,Skewness + Median + T-4 Return,Skewness,0.006895653075886726,0.6587906207955154
model_0031,Skewness + Median + T-4 Return,Median,-1.1227577034688996e-07,0.5651329327090316
model_0031,Skewness + Median + T-4 Return,T-4 Return,-0.008964644728948467,0.8895631999360403
model_0032,Skewness + Fear and Greed Index + VIX,const,-0.011599363474346959,0.6975852457823517
model_0032,Skewness + Fear and Greed Index + VIX,Skewness,-0.0009661265884503649,0.9543530651590227
model_0032,Skewness + Fear and Greed Index + VIX,Fear and Greed Index,0.00031947302022449495,0.3244244030950506
model_0032,Skewness + Fear and Greed Index + VIX,VIX,0.00011371193926168146,0.902052487463877
model_0033,Skewness + Fear and Greed Index + T-1 Return,const,-0.006088837468421132,0.7034937244681863
model_0033,Skewness + Fear and Greed Index + T-1 Return,Skewness,-0.0018619939283516255,0.9117972315242504
model_0033,Skewness + Fear and Greed Index + T-1 Return,Fear and Greed Index,0.00024845447479486163,0.41989773343436687
model_0033,Skewness + Fear and Greed Index + T-1 Return,T-1 Return,0.05323299224139477,0.5179041675081092
model_0034,Skewness + Fear and Greed Index + T-2 Return,const,-0.007623154488789771,0.6398564588463682
model_0034,Skewness + Fear and Greed Index + T-2 Return,Skewness,-0.0011425277289488446,0.9457490124369299
model_0034,Skewness + Fear and Greed Index + T-2 Return,Fear and Greed Index,0.00028518092617434946,0.3631237470372062
model_0034,Skewness + Fear and Greed Index + T-2 Return,T-2 Return,0.012924213148021592,0.8591897859564903
model_0035,Skewness + Fear and Greed Index + T-3 Return,const,-0.009627273543862336,0.5484482577362602
model_0035,Skewness + Fear and Greed Index + T-3 Return,Skewness,-0.0009735315308953669,0.9537914971021002
model_0035,Skewness + Fear and Greed Index + T-3 Return,Fear and Greed Index,0.0003285024400588691,0.28581257036056007
model_0035,Skewness + Fear and Greed Index + T-3 Return,T-3 Return,-0.020379819494315433,0.7607043945570398
model_0036,Skewness + Fear and Greed Index + T-4 Return,const,-0.009862390994046216,0.5355408554503227
model_0036,Skewness + Fear and Greed Index + T-4 Return,Skewness,-0.0005999211677761478,0.9715784355829731
model_0036,Skewness + Fear and Greed Index + T-4 Return,Fear and Greed Index,0.0003344261413551757,0.2731546811646057
model_0036,Skewness + Fear and Greed Index + T-4 Return,T-4 Return,-0.02838636089190236,0.6683271823182533
model_0037,Skewness + VIX + T-1 Return,const,0.012145191493244854,0.5076490026238437
model_0037,Skewness + VIX + T-1 Return,Skewness,0.001668884504288513,0.9180699547857907
model_0037,Skewness + VIX + T-1 Return,VIX,-0.00030009713239710514,0.7229697117748
model_0037,Skewness + VIX + T-1 Return,T-1 Return,0.07315458900913348,0.35683291541301465
model_0038,Skewness + VIX + T-2 Return,const,0.009828217259801167,0.6009784066768133
model_0038,Skewness + VIX + T-2 Return,Skewness,0.004088233973178814,0.7979850913565412
model_0038,Skewness + VIX + T-2 Return,VIX,-0.00017237033874227027,0.8422840415055365
model_0038,Skewness + VIX + T-2 Return,T-2 Return,0.03157197854066069,0.6548161953335561
model_0039,Skewness + VIX + T-3 Return,const,0.011699546638204814,0.5250200826758215
model_0039,Skewness + VIX + T-3 Return,Skewness,0.004694283484618858,0.7705210330247925
model_0039,Skewness + VIX + T-3 Return,VIX,-0.0002573626863334818,0.761622567803277
model_0039,Skewness + VIX + T-3 Return,T-3 Return,-0.002434214389043155,0.9699992514106817
model_0040,Skewness + VIX + T-4 Return,const,0.011866222267211958,0.5188012957059414
model_0040,Skewness + VIX + T-4 Return,Skewness,0.005125728082214614,0.7512804891856808
model_0040,Skewness + VIX + T-4 Return,VIX,-0.00026324929853179375,0.7561250527795179
model_0040,Skewness + VIX + T-4 Return,T-4 Return,-0.01209095221689098,0.8514585469505328
model_0041,Skewness + T-1 Return + T-2 Return,const,0.005847619504967726,0.3067774670230673
model_0041,Skewness + T-1 Return + T-2 Return,Skewness,0.002228047131592854,0.8871772563618344
model_0041,Skewness + T-1 Return + T-2 Return,T-1 Return,0.07173451812501626,0.3653147750766438
model_0041,Skewness + T-1 Return + T-2 Return,T-2 Return,0.034881235299114965,0.6125434139193673
model_0042,Skewness + T-1 Return + T-3 Return,const,0.005961869846627157,0.2977393518388929
model_0042,Skewness + T-1 Return + T-3 Return,Skewness,0.0031776813153699436,0.840675639887575
model_0042,Skewness + T-1 Return + T-3 Return,T-1 Return,0.0717490167104591,0.3664705799874374
